event_id,timestamp,from_bank,from_account_token,to_bank,to_account_token,amount_received,receiving_currency,amount_paid,payment_currency,payment_format,source_type,verified
ibm_bb0fdc68d0980870e9192cc4,2026/08/03 00:00,Citibank,acct_7af2c58243d91ef92010,Citibank,acct_7f5dcce7d6638966f15f,40015.90,US Dollar,40015.90,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_26fca542e40d7427d6d230c9,2026/08/03 02:00,Citibank,acct_a30fd5809681fb7737e9,Wells Fargo,acct_cbccf8cc551d377324e2,9598.67,US Dollar,9598.67,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_3edaf7d72d19e8a082441c20,2026/08/03 08:00,Bank of America,acct_442ca7cbf5ee6e166a27,Bank of America,acct_2d061bcfe865a0e663d0,14521.79,US Dollar,14521.79,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_33252f94a45c29be7b847a5f,2026/08/03 12:00,Bank of America,acct_e6857dfe9c96d4aacde1,JPMorgan Chase,acct_34064c0ea4bf0afc75cf,66718.70,US Dollar,66718.70,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_d95ea8bc851b57ddb1e79da2,2026/08/03 14:00,Citibank,acct_ac3222839ebf64f2df68,Wells Fargo,acct_1b8aee11044ccbcfc02c,33404.44,US Dollar,33404.44,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_29b719465417b73fe8c74675,2026/08/03 16:00,Bank of America,acct_f3311fb49d8875bf8da8,PNC Bank,acct_b9e8b1c5101550b96c08,30824.98,US Dollar,30824.98,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_0688652a82e6e4f71deb9044,2026/08/03 20:00,Wells Fargo,acct_2a7a668642fc5ce5486d,Bank of America,acct_9ebf2635fb10f21b5423,46837.52,US Dollar,46837.52,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_fd3f2c9ba99ab9ce03bf0155,2026/08/03 22:00,Bank of America,acct_a998653ab2987a3f3612,Citibank,acct_bf84be978518dd75b978,21207.82,US Dollar,21207.82,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_b6cf7632e45146e4460ee3a4,2026/08/04 00:00,Wells Fargo,acct_da897a9b4f873fce3423,Wells Fargo,acct_57fe7b5b7bdd90197395,15572.33,US Dollar,15572.33,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_5d29ce0284226054cae56a41,2026/08/04 02:00,Citibank,acct_398e45a78235bf498a59,Citibank,acct_d4988152dff0b00565df,70977.99,US Dollar,70977.99,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_b721e0f204a71a0fdde52ccc,2026/08/04 04:00,Wells Fargo,acct_fcd35e806fdfa9150b2e,Citibank,acct_b2f4efb8c13e313befb2,48328.89,US Dollar,48328.89,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_d683959e0649c4e4d798ee63,2026/08/04 06:00,Wells Fargo,acct_a2138d2f01a438df8b9e,Citibank,acct_3ac665cdcd1181e3dd1c,16953.91,US Dollar,16953.91,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_bd1dc894d041a35c908c8bdf,2026/08/04 10:00,Citibank,acct_d7f7af0ff8b12b60a81f,JPMorgan Chase,acct_a3d409486b4c6a810a65,16455.93,US Dollar,16455.93,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_156a33cc4f2a7647eee4d2b6,2026/08/04 14:00,JPMorgan Chase,acct_d4be970b89ce4feab2c9,JPMorgan Chase,acct_59dc65ac1d4e5e68279b,3450.86,US Dollar,3450.86,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_bf4eb6cdc57aeaee6f3cb81c,2026/08/04 18:00,Citibank,acct_513ed8181923433895bb,Citibank,acct_62bccf3f7591130b8eaa,32686.70,US Dollar,32686.70,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_db4193c7533e14ca3c162a7f,2026/08/04 20:00,JPMorgan Chase,acct_06134a5ec299e9a1dbcb,Citibank,acct_3adef442de5319e49ea9,36305.92,US Dollar,36305.92,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_3cb1cdeba5909ae75479bd47,2026/08/05 02:00,PNC Bank,acct_ee4c5d46a8a25bd24bff,Citibank,acct_09c1fd1a76db22200f38,73686.27,US Dollar,73686.27,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_d7ff2c2b252c279783acbde2,2026/08/05 08:00,Wells Fargo,acct_adb5a5cdf88131403755,JPMorgan Chase,acct_e9ba51b19255f9b4684b,1896.67,US Dollar,1896.67,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_e340a91b998c7bc198b06efc,2026/08/05 10:00,JPMorgan Chase,acct_22ae43899d08897ed384,Bank of America,acct_2a1cd791ef47ddc59f34,10404.31,US Dollar,10404.31,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_5c78a2a13fbb40c2973b6b13,2026/08/05 16:00,JPMorgan Chase,acct_15af9738c9f58fc2377e,Citibank,acct_c80491c892e48a19511a,34532.09,US Dollar,34532.09,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_a24466d88f07d478aa131e8a,2026/08/05 18:00,Bank of America,acct_eea7a71a0bb8bb5eed40,JPMorgan Chase,acct_5bccd7951da046f06441,8409.42,US Dollar,8409.42,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_aa0e4d12afbf7596858877fa,2026/08/05 22:00,Wells Fargo,acct_9466028b9234bf011d6d,Bank of America,acct_5199a9dc1ea45a153d4f,34816.95,US Dollar,34816.95,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_5c1dbd57b2d34b7c7b0108b0,2026/08/06 00:00,Citibank,acct_411cfba19744604a625b,PNC Bank,acct_d8cf29f78fbad3db5b6f,55978.16,US Dollar,55978.16,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_d6ba0e577731bfed9619c918,2026/08/06 02:00,JPMorgan Chase,acct_55a913f9e57122d0e233,Citibank,acct_0eb817be76e9862b53f6,48662.99,US Dollar,48662.99,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_4ec0c24c47069825cd10cffd,2026/08/06 04:00,Wells Fargo,acct_56d8f697ea3d0a621b58,JPMorgan Chase,acct_2e6c43565db06b0a2dc6,44095.74,US Dollar,44095.74,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_de17a18a8526fdb3fe30456a,2026/08/06 08:00,JPMorgan Chase,acct_2a01992eec312846db43,PNC Bank,acct_0b7c1bca0a28e15b5b8d,59651.59,US Dollar,59651.59,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_4335040fe91ad19be4ba9b23,2026/08/06 16:00,Citibank,acct_4369e0802d79bda20506,Bank of America,acct_1750685ed986162b786f,70180.72,US Dollar,70180.72,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_50100cd7dccffdc93f15841c,2026/08/06 18:00,Wells Fargo,acct_dfb198c3d30a09a8b9b5,JPMorgan Chase,acct_a01e4cdd6fc5f38a1510,23982.08,US Dollar,23982.08,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_dec8e710ac8fee42f8c9532d,2026/08/06 22:00,Bank of America,acct_80b7f1f8ebb8c3f97efe,JPMorgan Chase,acct_bd507243d661b1e8972e,23455.47,US Dollar,23455.47,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_17b6a56917604581381c8821,2026/08/07 00:00,Wells Fargo,acct_666f0dff03e74d67ec18,PNC Bank,acct_234e35a68534dc44e512,27959.98,US Dollar,27959.98,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_b4d805ed3b55b875928dcca6,2026/08/07 02:00,Wells Fargo,acct_460fbe8f2186829dd7e1,Citibank,acct_ff40f43edf5f655f01a8,14005.81,US Dollar,14005.81,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_c6ad15f0ca20746527d89f4a,2026/08/07 06:00,PNC Bank,acct_5c4d7ed47269a2454d67,PNC Bank,acct_7a6ef2bfe2ad1dd66aa3,43144.26,US Dollar,43144.26,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_9225e0927f7b81c8b12770d7,2026/08/07 08:00,JPMorgan Chase,acct_0206111c61b48c37d8ad,JPMorgan Chase,acct_686b44040d731c367507,63647.79,US Dollar,63647.79,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_11524157322eb4573ffb8543,2026/08/07 14:00,Bank of America,acct_31769afd345275ea7758,JPMorgan Chase,acct_48dae073428000b020b3,48909.33,US Dollar,48909.33,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_cdbb077479aa3306fe8cae33,2026/08/07 18:00,Citibank,acct_5a9e2344f4b22118de19,PNC Bank,acct_2f7d593cdc601cc7d987,49436.46,US Dollar,49436.46,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_cc5866c4ccd1a7c944e42b34,2026/08/07 20:00,JPMorgan Chase,acct_d9883752d9972ffdfec3,JPMorgan Chase,acct_2a6f6b19a353142dde87,7179.66,US Dollar,7179.66,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_e67e62d23eb0d392788b4845,2026/08/07 22:00,JPMorgan Chase,acct_3a92291a859b863be756,JPMorgan Chase,acct_1e426c3ffe61ac42a217,74341.57,US Dollar,74341.57,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_c470cd9492485dd705472d24,2026/08/08 00:00,PNC Bank,acct_ce55d8bbd76cd99a46ea,Citibank,acct_07dc8c2f72383268901b,43356.94,US Dollar,43356.94,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_70735dad18bd603488c68531,2026/08/08 02:00,PNC Bank,acct_62d0d0901354ade2352a,Wells Fargo,acct_d950dbb6b02f1d6abfe0,19244.66,US Dollar,19244.66,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_f1e241e326bf8d1e210c542a,2026/08/08 04:00,JPMorgan Chase,acct_6f326b1bf3d3977df497,Bank of America,acct_6e7a5058864afdad1613,32001.77,US Dollar,32001.77,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_0ec92768f6ed78a8676275d4,2026/08/08 08:00,JPMorgan Chase,acct_1b0abd52c6c3671ee9ed,Citibank,acct_c0037f658e334dd7d365,18990.92,US Dollar,18990.92,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_097cafe09be3275f9551b586,2026/08/08 16:00,Bank of America,acct_1c965169d1a140024e0d,Bank of America,acct_33fa14fbf8d828e069d4,43063.93,US Dollar,43063.93,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_d06b3671e1f4e52a9335e630,2026/08/09 12:00,Bank of America,acct_641522560e68b2e48df3,Wells Fargo,acct_0038f29b300a5143c1f9,21020.93,US Dollar,21020.93,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_fb79124d6e0598491166afe0,2026/08/09 14:00,Citibank,acct_8741a83d6f007a996fb3,JPMorgan Chase,acct_62138134d76e068a1872,7572.70,US Dollar,7572.70,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_2e6294fbb57db2c5c847a79e,2026/08/09 16:00,Citibank,acct_7f39dfd7e58b11ae5397,Bank of America,acct_da5d90dc73889812beb8,44331.88,US Dollar,44331.88,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_9bdc217bdf501f59fc7246a7,2026/08/09 20:00,Bank of America,acct_c3768f3999d74e7bd513,JPMorgan Chase,acct_60f87eee582394a52229,31155.94,US Dollar,31155.94,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_f36e00494b918c3d5f7e3926,2026/08/10 00:00,Citibank,acct_f0827c0b4cff3c9cc30b,Citibank,acct_19719ea3345189dd2741,56475.08,US Dollar,56475.08,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_6d0ebf71e83ad11ec9bb62cb,2026/08/10 04:00,Wells Fargo,acct_bdbce9a8e10492e86dd3,JPMorgan Chase,acct_fca2b4b0d4f63784c0b9,16626.04,US Dollar,16626.04,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_35e397b2460b90a17470f2d9,2026/08/10 06:00,JPMorgan Chase,acct_661efc1e14d16b1c4f48,JPMorgan Chase,acct_9c19c8075aa4b0e18e89,29038.14,US Dollar,29038.14,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_d916414430fbeabf69aecb53,2026/08/10 08:00,Citibank,acct_a8f6cfd529c0bdc72086,Bank of America,acct_4d2251c2b1b3cfde0671,737.84,US Dollar,737.84,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_bde8bcc0791e721af03916eb,2026/08/10 10:00,JPMorgan Chase,acct_d3422987f3cef488bcdf,Wells Fargo,acct_72b58dc1ddd27330c269,30267.38,US Dollar,30267.38,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_7a4c32b13c1e710ab935abdc,2026/08/10 20:00,PNC Bank,acct_ddcf7e3a0a08e88e863b,JPMorgan Chase,acct_ff9d1dd021d77f0363a2,31474.78,US Dollar,31474.78,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_1a1bad8b167de165521abc4d,2026/08/11 00:00,PNC Bank,acct_3ec87fba36e860977963,JPMorgan Chase,acct_7233ddd535d92dc3e91c,28116.98,US Dollar,28116.98,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_3a2b33f97f1e6d641e29c0d9,2026/08/11 08:00,Bank of America,acct_ea9f0cb2f978c3782d46,Wells Fargo,acct_e68a8829ec072a2ac3ba,24350.36,US Dollar,24350.36,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_8c4e92d569c5070407d21129,2026/08/11 10:00,Citibank,acct_37c325fa4ae803208064,JPMorgan Chase,acct_155c7a4bae37573d2190,31187.09,US Dollar,31187.09,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_9daeab0b4f6c982ee2cd768b,2026/08/11 14:00,PNC Bank,acct_99609807e211d9e4bd04,PNC Bank,acct_6cfebafb4088254d31d8,6118.04,US Dollar,6118.04,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_49e23cc80c806a18277483cb,2026/08/11 20:00,Citibank,acct_268cbb79580504cac969,Bank of America,acct_7f67d8fe762367a0b8d2,25746.70,US Dollar,25746.70,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_90e7929ce890f71c8403f037,2026/08/12 02:00,PNC Bank,acct_c42246dfb18bf36c7b8c,JPMorgan Chase,acct_e5bffb88d3cce16eceb1,24900.92,US Dollar,24900.92,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_f9bead56fb2476cafd256ec4,2026/08/12 06:00,JPMorgan Chase,acct_ea723947e0e08848d3d3,Bank of America,acct_7a18d725fc7822a8e707,66512.71,US Dollar,66512.71,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_7bc7b4f50b5db8dd7a03c5e7,2026/08/12 08:00,Citibank,acct_d7d3d5a589b2bfc8c9b9,Bank of America,acct_d52c0a0ebc5ec66c1d1e,6223.03,US Dollar,6223.03,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_1767f04cde8050334751f699,2026/08/12 20:00,Wells Fargo,acct_961d435e972e2b4b93d9,PNC Bank,acct_2704003cd5ce956ad63b,62942.77,US Dollar,62942.77,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_098d75cb73a0b139e0e334b8,2026/08/13 00:00,JPMorgan Chase,acct_a0b6b8a487f0fe3bac3c,Bank of America,acct_4558e76c40bb0f7b6445,25738.08,US Dollar,25738.08,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_b0f1ed55e7dcb6e5c277ad3c,2026/08/13 02:00,Bank of America,acct_0fc4a9c1f8b32f4339eb,Citibank,acct_1766e2d4c1f5c3cb7be4,29554.29,US Dollar,29554.29,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_cf3a25c56949aeb6cbb4325d,2026/08/13 08:00,PNC Bank,acct_b3180376292ecb639122,Wells Fargo,acct_d5139e7dddecff34b0cf,55222.09,US Dollar,55222.09,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_0176e2929c1783ad6c240bcf,2026/08/13 10:00,PNC Bank,acct_1b3cff020b16c2862854,Bank of America,acct_d12ef91ecd1cd2252996,41950.71,US Dollar,41950.71,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_c875aa04696f9be1d2007609,2026/08/13 16:00,PNC Bank,acct_6ec4f74cc7290fd93daa,JPMorgan Chase,acct_9bc89a87a4c5f39d7f78,39239.47,US Dollar,39239.47,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_0b7039fa2c30732dfe8e4f63,2026/08/13 18:00,Citibank,acct_9ab73a808735663a85a5,Bank of America,acct_d2169c81539fbc605ac4,36507.01,US Dollar,36507.01,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_e084d87afb13421a48cfbb21,2026/08/13 22:00,JPMorgan Chase,acct_341244d4f216e468acc9,JPMorgan Chase,acct_91c5daf83bc1fdddc76c,31115.37,US Dollar,31115.37,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_2f37ae7aac29d384b5b39f8a,2026/08/14 00:00,Citibank,acct_ac2d5efd50b6ca5354de,JPMorgan Chase,acct_5730e6957188bcddde82,28772.87,US Dollar,28772.87,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_50bbc3e02a1917b1c8f12e41,2026/08/14 02:00,JPMorgan Chase,acct_a9ffaa6d48ad24bc16ec,JPMorgan Chase,acct_7204d825fe20c434b05f,56161.32,US Dollar,56161.32,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_d40b752e6e277df4c21f0078,2026/08/14 08:00,Bank of America,acct_09f77a66f3fbf3f6f9a4,Citibank,acct_0ce1a675efbe5a4bc549,52243.53,US Dollar,52243.53,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_f5193f187ae32b56aa832725,2026/08/14 10:00,Bank of America,acct_320071956deb1edee6f9,Wells Fargo,acct_b6a40f110b55c205fefa,58694.21,US Dollar,58694.21,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_24dd8d4e925168167f023831,2026/08/14 12:00,Bank of America,acct_5b5d9044d0154ce5ebfc,PNC Bank,acct_03b770a291bcbe4798a8,40095.82,US Dollar,40095.82,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_8b3b3a0fd948800814153ea3,2026/08/15 00:00,Wells Fargo,acct_2c4f76a8c7188a486555,JPMorgan Chase,acct_921c7097243847adbb55,30954.39,US Dollar,30954.39,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_f34a18820de7f1ee84bdd2b0,2026/08/15 04:00,Wells Fargo,acct_ef8d8dac509508c5fd42,JPMorgan Chase,acct_20a6667767e36dd7d33e,47880.24,US Dollar,47880.24,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_a2a170dd260af7129c3740f3,2026/08/15 06:00,JPMorgan Chase,acct_1312a84f7e1f2268a69b,Citibank,acct_0a0e89772023d77ab18b,17756.67,US Dollar,17756.67,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_5e918e2cf3042063a75ef9e4,2026/08/15 08:00,PNC Bank,acct_6702789c0971843a7279,Bank of America,acct_60234a4b12cb0e8c0fb9,69416.03,US Dollar,69416.03,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_fa9de17e16caf262f113badf,2026/08/15 12:00,Wells Fargo,acct_a8b1d433a44efe3a0269,PNC Bank,acct_0f0d4abbbd98370652ae,12268.26,US Dollar,12268.26,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_79548d3ccbee25647a1f7690,2026/08/15 14:00,Citibank,acct_cc5075fae06159a14d1f,JPMorgan Chase,acct_d8783b4de0ea10f6145a,29813.66,US Dollar,29813.66,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_7bf428df2bc6f23462f2b31f,2026/08/15 16:00,PNC Bank,acct_b85f35bc6450ee424102,Bank of America,acct_7475fc9162baccaaf2fa,36767.87,US Dollar,36767.87,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_d8b234424312d01b83b8dd94,2026/08/15 20:00,Citibank,acct_6485509f2e85fe158033,Bank of America,acct_c3a080711cc9653d7b79,53316.44,US Dollar,53316.44,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_f7fb9b1fff9e06c36a17390a,2026/08/15 22:00,Bank of America,acct_f4b628cba0f1231e032e,Bank of America,acct_f54d55261ee8544b7a9c,6897.56,US Dollar,6897.56,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_5c0df88954921f811e3b61fe,2026/08/16 00:00,Wells Fargo,acct_b3c01ba079f73ce073be,Wells Fargo,acct_095b3009c6bdaae59b52,46627.15,US Dollar,46627.15,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_87bce8e7dac9ea1e5a19801b,2026/08/16 06:00,JPMorgan Chase,acct_db121252d5df840fdfd7,Citibank,acct_c412d83d10a2a608263e,9871.55,US Dollar,9871.55,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_8da4bb3d220fcdaec58c4895,2026/08/16 08:00,PNC Bank,acct_2c16de6d0a2f29b4b5ab,PNC Bank,acct_a55dfd804f538dc3d64b,73141.27,US Dollar,73141.27,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_bb5e7398caada6889b76b7af,2026/08/16 12:00,JPMorgan Chase,acct_af4e8d16da381b498be6,JPMorgan Chase,acct_9009ed873e1466f3de7d,22316.30,US Dollar,22316.30,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_a4e11ab541512d532b232f8d,2026/08/17 00:00,Bank of America,acct_5af8a422b0725ca3716b,Citibank,acct_577459dc6347dc51a161,12514.80,US Dollar,12514.80,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_1943f023158a0623b5ee910f,2026/08/17 08:00,Bank of America,acct_061ee2d0aa70b77ca5a5,PNC Bank,acct_1b3de822384f540e7af5,36138.78,US Dollar,36138.78,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_7ffbbaeb18563d9229e676bc,2026/08/17 10:00,Citibank,acct_e8c841bd9e3a2b2b3d75,Bank of America,acct_ad0975a6fc60d16f2081,53777.80,US Dollar,53777.80,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_c9c70f1011c1ec4f301b1e24,2026/08/17 14:00,Citibank,acct_95e16304ff0fd1287d03,Citibank,acct_9f497141e1367d4c2381,67611.74,US Dollar,67611.74,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_9905e76842e5f36142536320,2026/08/17 16:00,JPMorgan Chase,acct_7eb589f00cd4dfcaf4b3,Bank of America,acct_eeab0cc4d00c95efaad8,18524.47,US Dollar,18524.47,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
